,conta,duração,quantia,poupança,emprego,idade,creditos,trabalho,pagador
395,[0-200),39,11760,[100-500),"[4,7) anos",32,1,nível 2,bom
396,negativo,12,2578,<100,desempregado,55,1,nível 3,bom
397,negativo,36,2348,<100,"[1,4) anos",46,2,nível 2,bom
398,[0-200),12,1223,<100,> 7 anos,46,2,nível 2,mau
399,sem conta,24,1516,>1000,"[1,4) anos",43,2,nível 1,bom
400,sem conta,18,1473,<100,< 1 ano,39,1,nível 2,bom
401,[0-200),18,1887,sem conta,"[1,4) anos",28,2,nível 2,bom
402,sem conta,24,8648,<100,< 1 ano,27,2,nível 2,mau
403,sem conta,14,802,<100,"[1,4) anos",27,2,nível 1,bom
404,[0-200),18,2899,sem conta,> 7 anos,43,1,nível 2,bom
405,[0-200),24,2039,<100,< 1 ano,22,1,nível 2,mau
406,sem conta,24,2197,sem conta,"[4,7) anos",43,2,nível 2,bom
407,negativo,15,1053,<100,< 1 ano,27,1,nível 2,bom
408,sem conta,24,3235,[500-1000),> 7 anos,26,1,nível 3,bom
409,200+,12,939,[500-1000),"[4,7) anos",28,3,nível 2,mau
410,[0-200),24,1967,<100,> 7 anos,20,1,nível 2,bom
411,sem conta,33,7253,<100,"[4,7) anos",35,2,nível 3,bom
412,sem conta,12,2292,<100,desempregado,42,2,nível 3,mau
413,sem conta,10,1597,[500-1000),"[1,4) anos",40,1,nível 1,bom
414,negativo,24,1381,sem conta,"[1,4) anos",35,1,nível 2,mau
415,sem conta,36,5842,<100,> 7 anos,35,2,nível 2,bom
416,negativo,12,2579,<100,< 1 ano,33,1,nível 1,mau
417,negativo,18,8471,sem conta,"[1,4) anos",23,2,nível 2,bom
418,sem conta,21,2782,[500-1000),"[4,7) anos",31,1,nível 3,bom
419,[0-200),18,1042,sem conta,"[1,4) anos",33,1,nível 2,mau
420,sem conta,15,3186,>1000,"[4,7) anos",20,1,nível 2,bom
421,[0-200),12,2028,sem conta,"[1,4) anos",30,1,nível 2,bom
422,[0-200),12,958,<100,"[4,7) anos",47,2,nível 1,bom
423,sem conta,21,1591,[100-500),"[4,7) anos",34,2,nível 3,bom
424,[0-200),12,2762,sem conta,> 7 anos,25,1,nível 2,mau
425,[0-200),18,2779,<100,"[1,4) anos",21,1,nível 2,bom
426,sem conta,28,2743,<100,> 7 anos,29,2,nível 2,bom
427,sem conta,18,1149,>1000,"[1,4) anos",46,2,nível 2,bom
428,sem conta,9,1313,<100,> 7 anos,20,1,nível 2,bom
429,negativo,18,1190,<100,desempregado,55,3,desempregado,mau
430,sem conta,5,3448,<100,"[4,7) anos",74,1,nível 1,bom
431,[0-200),24,11328,<100,"[1,4) anos",29,2,nível 3,mau
432,negativo,6,1872,<100,desempregado,36,3,nível 3,bom
433,sem conta,24,2058,<100,"[1,4) anos",33,2,nível 2,bom
434,negativo,9,2136,<100,"[1,4) anos",25,1,nível 2,bom
435,[0-200),12,1484,sem conta,"[1,4) anos",25,1,nível 2,mau
436,sem conta,6,660,[500-1000),"[4,7) anos",23,1,nível 1,bom
437,sem conta,24,1287,>1000,> 7 anos,37,2,nível 2,bom
438,negativo,42,3394,<100,desempregado,65,2,desempregado,bom
439,200+,12,609,<100,< 1 ano,26,1,desempregado,mau
440,sem conta,12,1884,<100,> 7 anos,39,1,nível 3,bom
441,negativo,12,1620,<100,"[1,4) anos",30,1,nível 2,bom
442,[0-200),20,2629,<100,"[1,4) anos",29,2,nível 2,bom
443,sem conta,12,719,<100,> 7 anos,41,1,nível 1,mau
444,[0-200),48,5096,<100,"[1,4) anos",30,1,nível 3,mau
445,sem conta,9,1244,sem conta,> 7 anos,41,2,nível 1,bom
446,negativo,36,1842,<100,< 1 ano,34,1,nível 2,mau
447,[0-200),7,2576,<100,"[1,4) anos",35,1,nível 2,bom
448,200+,12,1424,sem conta,> 7 anos,55,1,nível 3,bom
449,[0-200),15,1512,>1000,"[1,4) anos",61,2,nível 2,mau
450,sem conta,36,11054,sem conta,"[1,4) anos",30,1,nível 3,bom
451,sem conta,6,518,<100,"[1,4) anos",29,1,nível 2,bom
452,sem conta,12,2759,<100,> 7 anos,34,2,nível 2,bom
453,sem conta,24,2670,<100,> 7 anos,35,1,nível 3,bom
454,negativo,24,4817,<100,"[4,7) anos",31,1,nível 2,mau
455,sem conta,24,2679,<100,< 1 ano,29,1,nível 3,bom
456,negativo,11,3905,<100,"[1,4) anos",36,2,nível 2,bom
457,negativo,12,3386,<100,> 7 anos,35,1,nível 2,mau
458,negativo,6,343,<100,< 1 ano,27,1,nível 2,bom
459,sem conta,18,4594,<100,< 1 ano,32,1,nível 2,bom
460,negativo,36,3620,<100,"[1,4) anos",37,1,nível 2,bom
461,negativo,15,1721,<100,< 1 ano,36,1,nível 2,bom
462,[0-200),12,3017,<100,< 1 ano,34,1,nível 3,bom
463,[0-200),12,754,sem conta,> 7 anos,38,2,nível 2,bom
464,sem conta,18,1950,<100,"[4,7) anos",34,2,nível 2,bom
465,negativo,24,2924,<100,"[1,4) anos",63,1,nível 2,bom
466,negativo,24,1659,<100,< 1 ano,29,1,nível 1,mau
467,sem conta,48,7238,sem conta,> 7 anos,32,2,nível 2,bom
468,sem conta,33,2764,<100,"[1,4) anos",26,2,nível 2,bom
469,sem conta,24,4679,<100,"[4,7) anos",35,2,nível 1,bom
470,[0-200),24,3092,[100-500),< 1 ano,22,1,nível 2,mau
471,negativo,6,448,<100,< 1 ano,23,1,nível 2,mau
472,negativo,9,654,<100,"[1,4) anos",28,1,nível 1,mau
473,sem conta,6,1238,sem conta,desempregado,36,1,nível 3,bom
474,[0-200),18,1245,<100,"[1,4) anos",33,1,nível 2,mau
475,negativo,18,3114,<100,< 1 ano,26,1,nível 2,mau
476,sem conta,39,2569,[500-1000),"[1,4) anos",24,1,nível 2,bom
477,200+,24,5152,<100,"[4,7) anos",25,1,nível 2,bom
478,[0-200),12,1037,[100-500),"[4,7) anos",39,1,nível 1,bom
479,negativo,15,1478,<100,> 7 anos,44,2,nível 2,bom
480,[0-200),12,3573,<100,"[1,4) anos",23,1,nível 1,bom
481,[0-200),24,1201,<100,< 1 ano,26,1,nível 2,bom
482,negativo,30,3622,>1000,> 7 anos,57,2,nível 2,bom
483,sem conta,15,960,>1000,"[4,7) anos",30,2,nível 2,bom
484,sem conta,12,1163,[500-1000),"[1,4) anos",44,1,nível 2,bom
485,[0-200),6,1209,<100,desempregado,47,1,nível 3,mau
486,sem conta,12,3077,<100,"[1,4) anos",52,1,nível 2,bom
487,sem conta,24,3757,<100,> 7 anos,62,1,nível 2,bom
488,sem conta,10,1418,[100-500),"[1,4) anos",35,1,nível 1,bom
489,sem conta,6,3518,<100,"[1,4) anos",26,1,nível 2,bom
490,sem conta,12,1934,<100,> 7 anos,26,2,nível 2,bom
491,[0-200),27,8318,<100,> 7 anos,42,2,nível 3,mau
492,sem conta,6,1237,[100-500),"[1,4) anos",27,2,nível 2,bom
493,[0-200),6,368,sem conta,> 7 anos,38,1,nível 2,bom
494,negativo,12,2122,<100,"[1,4) anos",39,2,nível 1,bom
495,negativo,24,2996,sem conta,"[1,4) anos",20,1,nível 2,mau
496,[0-200),36,9034,[100-500),< 1 ano,29,1,nível 3,mau
497,sem conta,24,1585,<100,"[4,7) anos",40,2,nível 2,bom
498,[0-200),18,1301,<100,> 7 anos,32,1,nível 1,bom
499,200+,6,1323,[100-500),> 7 anos,28,2,nível 2,bom
500,negativo,24,3123,<100,< 1 ano,27,1,nível 2,mau
501,negativo,36,5493,<100,> 7 anos,42,1,nível 2,bom
502,200+,9,1126,[100-500),> 7 anos,49,1,nível 2,bom
503,[0-200),24,1216,[100-500),< 1 ano,38,2,nível 2,mau
504,negativo,24,1207,<100,< 1 ano,24,1,nível 2,mau
505,sem conta,10,1309,sem conta,"[1,4) anos",27,1,nível 1,mau
506,200+,15,2360,[500-1000),"[1,4) anos",36,1,nível 2,bom
507,[0-200),15,6850,[100-500),desempregado,34,1,nível 3,mau
508,sem conta,24,1413,<100,"[1,4) anos",28,1,nível 2,bom
509,sem conta,39,8588,[100-500),> 7 anos,45,1,nível 3,bom
510,negativo,12,759,<100,"[4,7) anos",26,1,nível 2,mau
511,sem conta,36,4686,<100,"[1,4) anos",32,1,nível 3,bom
512,200+,15,2687,<100,"[4,7) anos",26,1,nível 2,bom
513,[0-200),12,585,<100,"[1,4) anos",20,2,nível 2,bom
514,sem conta,24,2255,sem conta,< 1 ano,54,1,nível 2,bom
515,negativo,6,609,<100,"[4,7) anos",37,2,nível 2,bom
516,negativo,6,1361,<100,< 1 ano,40,1,nível 1,bom
517,sem conta,36,7127,<100,< 1 ano,23,2,nível 2,mau
518,negativo,6,1203,[100-500),> 7 anos,43,1,nível 2,bom
519,sem conta,6,700,sem conta,> 7 anos,36,2,nível 2,bom
520,sem conta,24,5507,<100,> 7 anos,44,2,nível 2,bom
521,negativo,18,3190,<100,"[1,4) anos",24,1,nível 2,mau
522,negativo,48,7119,<100,"[1,4) anos",53,2,nível 2,mau
523,sem conta,24,3488,[100-500),"[4,7) anos",23,1,nível 2,bom
524,[0-200),18,1113,<100,"[1,4) anos",26,1,nível 1,bom
525,[0-200),26,7966,<100,< 1 ano,30,2,nível 2,bom
526,sem conta,15,1532,[100-500),"[1,4) anos",31,1,nível 2,bom
527,sem conta,4,1503,<100,"[4,7) anos",42,2,nível 1,bom
528,negativo,36,2302,<100,"[1,4) anos",31,1,nível 2,mau
529,negativo,6,662,<100,< 1 ano,41,1,nível 1,bom
530,[0-200),36,2273,<100,"[4,7) anos",32,2,nível 2,bom
531,[0-200),15,2631,[100-500),"[1,4) anos",28,2,nível 2,mau
532,sem conta,12,1503,<100,"[1,4) anos",41,1,nível 2,bom
533,sem conta,24,1311,[100-500),"[4,7) anos",26,1,nível 2,bom
534,sem conta,24,3105,sem conta,< 1 ano,25,2,nível 2,bom
535,200+,21,2319,<100,< 1 ano,33,1,nível 2,mau
536,negativo,6,1374,sem conta,desempregado,75,1,nível 3,bom
537,[0-200),18,3612,<100,> 7 anos,37,1,nível 2,bom
538,negativo,48,7763,<100,> 7 anos,42,1,nível 3,mau
539,200+,18,3049,<100,< 1 ano,45,1,nível 1,bom
540,[0-200),12,1534,<100,< 1 ano,23,1,nível 2,mau
541,sem conta,24,2032,<100,> 7 anos,60,2,nível 2,bom
542,negativo,30,6350,sem conta,> 7 anos,31,1,nível 2,mau
543,200+,18,2864,<100,"[1,4) anos",34,1,nível 1,mau
544,sem conta,12,1255,<100,> 7 anos,61,2,nível 1,bom
545,negativo,24,1333,<100,desempregado,43,2,nível 2,mau
546,sem conta,24,2022,<100,"[1,4) anos",37,1,nível 2,bom
547,sem conta,24,1552,<100,"[4,7) anos",32,1,nível 2,bom
548,negativo,12,626,<100,"[1,4) anos",24,1,nível 1,mau
549,sem conta,48,8858,sem conta,"[4,7) anos",35,2,nível 2,bom
550,sem conta,12,996,sem conta,"[4,7) anos",23,2,nível 2,bom
551,sem conta,6,1750,[500-1000),> 7 anos,45,1,nível 1,bom
552,negativo,48,6999,<100,"[4,7) anos",34,2,nível 2,mau
553,[0-200),12,1995,[100-500),< 1 ano,27,1,nível 2,bom
554,[0-200),9,1199,<100,"[4,7) anos",67,2,nível 3,bom
555,[0-200),12,1331,<100,< 1 ano,22,1,nível 2,mau
556,[0-200),18,2278,[100-500),< 1 ano,28,2,nível 2,mau
557,sem conta,21,5003,sem conta,"[1,4) anos",29,2,nível 2,mau
558,negativo,24,3552,<100,"[4,7) anos",27,1,nível 2,mau
559,[0-200),18,1928,<100,< 1 ano,31,2,nível 1,mau
560,negativo,24,2964,sem conta,> 7 anos,49,1,nível 2,bom
561,negativo,24,1546,<100,"[4,7) anos",24,1,nível 1,mau
562,200+,6,683,<100,< 1 ano,29,1,nível 2,bom
563,[0-200),36,12389,sem conta,"[1,4) anos",37,1,nível 2,mau
564,[0-200),24,4712,sem conta,"[1,4) anos",37,2,nível 3,bom
565,[0-200),24,1553,[100-500),"[4,7) anos",23,2,nível 2,bom
566,negativo,12,1372,<100,"[4,7) anos",36,1,nível 2,mau
567,sem conta,24,2578,>1000,> 7 anos,34,1,nível 2,bom
568,[0-200),48,3979,sem conta,"[4,7) anos",41,2,nível 2,bom
569,negativo,48,6758,<100,"[1,4) anos",31,1,nível 2,mau
570,negativo,24,3234,<100,< 1 ano,23,1,nível 1,mau
571,sem conta,30,5954,<100,"[4,7) anos",38,1,nível 2,bom
572,sem conta,24,5433,sem conta,desempregado,26,1,nível 3,bom
573,negativo,15,806,<100,"[1,4) anos",22,1,nível 1,bom
574,[0-200),9,1082,<100,> 7 anos,27,2,nível 1,bom
575,sem conta,15,2788,<100,"[4,7) anos",24,2,nível 2,bom
576,[0-200),12,2930,<100,"[4,7) anos",27,1,nível 2,bom
577,sem conta,24,1927,sem conta,"[1,4) anos",33,2,nível 2,bom
578,[0-200),36,2820,<100,< 1 ano,27,2,nível 2,mau
579,sem conta,24,937,<100,< 1 ano,27,2,nível 1,bom
580,[0-200),18,1056,<100,> 7 anos,30,2,nível 2,mau
581,[0-200),12,3124,<100,< 1 ano,49,2,nível 1,bom
582,sem conta,9,1388,<100,"[1,4) anos",26,1,nível 2,bom
583,[0-200),36,2384,<100,< 1 ano,33,1,nível 1,mau
584,sem conta,12,2133,sem conta,> 7 anos,52,1,nível 3,bom
585,negativo,18,2039,<100,"[1,4) anos",20,1,nível 2,mau
586,negativo,9,2799,<100,"[1,4) anos",36,2,nível 2,bom
587,negativo,12,1289,<100,"[1,4) anos",21,1,nível 1,bom
588,negativo,18,1217,<100,"[1,4) anos",47,1,nível 1,mau
589,negativo,12,2246,<100,> 7 anos,60,2,nível 2,mau
590,negativo,12,385,<100,"[4,7) anos",58,4,nível 1,bom
591,[0-200),24,1965,sem conta,"[1,4) anos",42,2,nível 2,bom
592,sem conta,21,1572,>1000,> 7 anos,36,1,nível 1,bom
593,[0-200),24,2718,<100,"[1,4) anos",20,1,nível 1,mau
594,negativo,24,1358,sem conta,> 7 anos,40,1,nível 3,mau
595,[0-200),6,931,[100-500),< 1 ano,32,1,nível 1,mau
596,negativo,24,1442,<100,"[4,7) anos",23,2,nível 2,mau
597,[0-200),24,4241,<100,"[1,4) anos",36,3,nível 1,mau
598,sem conta,18,2775,<100,"[4,7) anos",31,2,nível 2,mau
599,sem conta,24,3863,<100,"[1,4) anos",32,1,nível 2,bom
600,[0-200),7,2329,<100,< 1 ano,45,1,nível 2,bom
601,[0-200),9,918,<100,"[1,4) anos",30,1,nível 2,mau
602,[0-200),24,1837,<100,"[4,7) anos",34,1,nível 1,mau
603,sem conta,36,3349,<100,"[1,4) anos",28,1,nível 3,mau
604,200+,10,1275,<100,< 1 ano,23,1,nível 2,bom
605,negativo,24,2828,[500-1000),"[1,4) anos",22,1,nível 2,bom
606,sem conta,24,4526,<100,"[1,4) anos",74,1,nível 3,bom
607,[0-200),36,2671,[100-500),"[1,4) anos",50,1,nível 2,mau
608,sem conta,18,2051,<100,< 1 ano,33,1,nível 2,bom
609,sem conta,15,1300,sem conta,> 7 anos,45,1,nível 2,bom
610,negativo,12,741,[100-500),desempregado,22,1,nível 2,mau
611,200+,10,1240,[100-500),> 7 anos,48,1,nível 1,mau
612,negativo,21,3357,>1000,< 1 ano,29,1,nível 2,bom
613,negativo,24,3632,<100,"[1,4) anos",22,1,nível 2,bom
614,sem conta,18,1808,<100,"[4,7) anos",22,1,nível 2,mau
615,[0-200),48,12204,sem conta,"[1,4) anos",48,1,nível 3,bom
616,[0-200),60,9157,sem conta,"[1,4) anos",27,1,nível 3,bom
617,negativo,6,3676,<100,"[1,4) anos",37,3,nível 2,bom
618,[0-200),30,3441,[100-500),"[1,4) anos",21,1,nível 2,mau
619,sem conta,12,640,<100,"[1,4) anos",49,1,nível 1,bom
620,[0-200),21,3652,<100,"[4,7) anos",27,2,nível 2,bom
621,sem conta,18,1530,<100,"[1,4) anos",32,2,nível 2,mau
622,sem conta,48,3914,sem conta,"[1,4) anos",38,1,nível 2,mau
623,negativo,12,1858,<100,< 1 ano,22,1,nível 2,bom
624,negativo,18,2600,<100,"[1,4) anos",65,2,nível 2,mau
625,sem conta,15,1979,sem conta,> 7 anos,35,1,nível 2,bom
626,200+,6,2116,<100,"[1,4) anos",41,1,nível 2,bom
627,[0-200),9,1437,[100-500),"[4,7) anos",29,1,nível 2,mau
628,sem conta,42,4042,[500-1000),"[1,4) anos",36,2,nível 2,bom
629,sem conta,9,3832,sem conta,> 7 anos,64,1,nível 1,bom
630,negativo,24,3660,<100,"[1,4) anos",28,1,nível 2,bom
631,negativo,18,1553,<100,"[1,4) anos",44,1,nível 2,mau
632,[0-200),15,1444,sem conta,< 1 ano,23,1,nível 2,bom
633,sem conta,9,1980,<100,< 1 ano,19,2,nível 2,mau
634,[0-200),24,1355,<100,< 1 ano,25,1,nível 1,mau
635,sem conta,12,1393,<100,> 7 anos,47,3,nível 2,bom
636,sem conta,24,1376,[500-1000),"[4,7) anos",28,1,nível 2,bom
637,sem conta,60,15653,<100,"[4,7) anos",21,2,nível 2,bom
638,sem conta,12,1493,<100,< 1 ano,34,1,nível 2,bom
639,negativo,42,4370,<100,"[4,7) anos",26,2,nível 2,mau
640,negativo,18,750,<100,desempregado,27,1,desempregado,mau
641,[0-200),15,1308,<100,> 7 anos,38,2,nível 1,bom
642,sem conta,15,4623,[100-500),"[1,4) anos",40,1,nível 3,mau
643,sem conta,24,1851,<100,"[4,7) anos",33,2,nível 2,bom
644,negativo,18,1880,<100,"[4,7) anos",32,2,nível 3,bom
645,sem conta,36,7980,sem conta,< 1 ano,27,2,nível 2,mau
646,negativo,30,4583,<100,"[1,4) anos",32,2,nível 2,bom
647,sem conta,12,1386,[500-1000),"[1,4) anos",26,1,nível 2,mau
648,200+,24,947,<100,"[4,7) anos",38,1,nível 2,mau
649,negativo,12,684,<100,"[1,4) anos",40,1,nível 1,mau
650,negativo,48,7476,<100,"[4,7) anos",50,1,nível 3,bom
651,[0-200),12,1922,<100,"[1,4) anos",37,1,nível 1,mau
652,negativo,24,2303,<100,> 7 anos,45,1,nível 2,mau
653,[0-200),36,8086,[100-500),> 7 anos,42,4,nível 3,mau
654,sem conta,24,2346,<100,"[4,7) anos",35,2,nível 2,bom
655,negativo,14,3973,<100,desempregado,22,1,nível 2,bom
656,[0-200),12,888,<100,> 7 anos,41,1,nível 1,mau
657,sem conta,48,10222,sem conta,"[4,7) anos",37,1,nível 2,bom
658,[0-200),30,4221,<100,"[1,4) anos",28,2,nível 2,bom
659,[0-200),18,6361,<100,> 7 anos,41,1,nível 2,bom
660,200+,12,1297,<100,"[1,4) anos",23,1,nível 2,bom
661,negativo,12,900,sem conta,"[1,4) anos",23,1,nível 2,mau
662,sem conta,21,2241,<100,> 7 anos,50,2,nível 2,bom
663,[0-200),6,1050,<100,desempregado,35,2,nível 3,bom
664,200+,6,1047,<100,"[1,4) anos",50,1,nível 1,bom
665,sem conta,24,6314,<100,desempregado,27,2,nível 3,bom
666,[0-200),30,3496,>1000,"[1,4) anos",34,1,nível 2,bom
667,sem conta,48,3609,<100,"[1,4) anos",27,1,nível 2,bom
668,negativo,12,4843,<100,> 7 anos,43,2,nível 2,mau
669,200+,30,3017,<100,> 7 anos,47,1,nível 2,bom
670,sem conta,24,4139,[100-500),"[1,4) anos",27,2,nível 1,bom
671,sem conta,36,5742,[100-500),"[4,7) anos",31,2,nível 2,bom
672,sem conta,60,10366,<100,> 7 anos,42,1,nível 3,bom
673,sem conta,6,2080,[500-1000),"[1,4) anos",24,1,nível 2,bom
674,sem conta,21,2580,[500-1000),< 1 ano,41,1,nível 1,mau
675,sem conta,30,4530,<100,"[4,7) anos",26,1,nível 3,bom
676,sem conta,24,5150,<100,> 7 anos,33,1,nível 2,bom
677,[0-200),72,5595,[100-500),"[1,4) anos",24,1,nível 2,mau
678,negativo,24,2384,<100,> 7 anos,64,1,nível 1,bom
679,sem conta,18,1453,<100,< 1 ano,26,1,nível 2,bom
680,sem conta,6,1538,<100,< 1 ano,56,1,nível 2,bom
681,sem conta,12,2279,sem conta,"[1,4) anos",37,1,nível 2,bom
682,sem conta,15,1478,<100,"[1,4) anos",33,2,nível 2,bom
683,sem conta,24,5103,<100,< 1 ano,47,3,nível 2,bom
684,[0-200),36,9857,[100-500),"[4,7) anos",31,2,nível 1,bom
685,sem conta,60,6527,sem conta,"[1,4) anos",34,1,nível 2,bom
686,200+,10,1347,sem conta,"[4,7) anos",27,2,nível 2,bom
687,[0-200),36,2862,[100-500),> 7 anos,30,1,nível 2,bom
688,sem conta,9,2753,[100-500),> 7 anos,35,1,nível 2,bom
689,negativo,12,3651,>1000,"[1,4) anos",31,1,nível 2,bom
690,negativo,15,975,<100,"[1,4) anos",25,2,nível 2,bom
691,[0-200),15,2631,[100-500),"[1,4) anos",25,1,nível 1,bom
692,[0-200),24,2896,[100-500),< 1 ano,29,1,nível 2,bom
693,negativo,6,4716,sem conta,< 1 ano,44,2,nível 1,bom
694,sem conta,24,2284,<100,"[4,7) anos",28,1,nível 2,bom
695,sem conta,6,1236,[500-1000),"[1,4) anos",50,1,nível 2,bom
696,[0-200),12,1103,<100,"[4,7) anos",29,2,nível 2,bom
697,sem conta,12,926,<100,desempregado,38,1,desempregado,bom
698,sem conta,18,1800,<100,"[1,4) anos",24,2,nível 2,bom
699,200+,15,1905,<100,> 7 anos,40,1,nível 3,bom
700,sem conta,12,1123,[500-1000),"[1,4) anos",29,1,nível 1,mau
701,negativo,48,6331,<100,> 7 anos,46,2,nível 2,mau
702,200+,24,1377,[100-500),> 7 anos,47,1,nível 2,bom
703,[0-200),30,2503,[100-500),> 7 anos,41,2,nível 2,bom
704,[0-200),27,2528,<100,< 1 ano,32,1,nível 2,bom
705,sem conta,15,5324,[500-1000),> 7 anos,35,1,nível 2,bom
706,[0-200),48,6560,[100-500),"[4,7) anos",24,1,nível 2,mau
707,[0-200),12,2969,<100,< 1 ano,25,2,nível 2,mau
708,[0-200),9,1206,<100,> 7 anos,25,1,nível 2,bom
709,[0-200),9,2118,<100,"[1,4) anos",37,1,nível 1,bom
710,sem conta,18,629,[500-1000),> 7 anos,32,2,nível 3,bom
711,negativo,6,1198,<100,> 7 anos,35,1,nível 2,mau
712,sem conta,21,2476,sem conta,> 7 anos,46,1,nível 3,bom
713,negativo,9,1138,<100,"[1,4) anos",25,2,nível 1,bom
714,[0-200),60,14027,<100,"[4,7) anos",27,1,nível 3,mau
715,sem conta,30,7596,sem conta,> 7 anos,63,2,nível 2,bom
716,sem conta,30,3077,sem conta,> 7 anos,40,2,nível 2,bom
717,sem conta,18,1505,<100,"[1,4) anos",32,1,nível 3,bom
718,200+,24,3148,sem conta,"[1,4) anos",31,2,nível 2,bom
719,[0-200),20,6148,[100-500),> 7 anos,31,2,nível 2,bom
720,200+,9,1337,<100,< 1 ano,34,2,nível 3,mau
721,[0-200),6,433,>1000,< 1 ano,24,1,nível 2,mau
722,negativo,12,1228,<100,"[1,4) anos",24,1,nível 1,mau
723,[0-200),9,790,[500-1000),"[1,4) anos",66,1,nível 1,bom
724,sem conta,27,2570,<100,"[1,4) anos",21,1,nível 2,mau
725,sem conta,6,250,>1000,"[1,4) anos",41,2,nível 1,bom
726,sem conta,15,1316,[500-1000),"[1,4) anos",47,2,nível 1,bom
727,negativo,18,1882,<100,"[1,4) anos",25,2,nível 2,mau
728,[0-200),48,6416,<100,> 7 anos,59,1,nível 2,mau
729,200+,24,1275,>1000,"[1,4) anos",36,2,nível 2,bom
730,[0-200),24,6403,<100,< 1 ano,33,1,nível 2,bom
731,negativo,24,1987,<100,"[1,4) anos",21,1,nível 1,mau
732,[0-200),8,760,<100,"[4,7) anos",44,1,nível 1,bom
733,sem conta,24,2603,>1000,"[1,4) anos",28,1,nível 2,bom
734,sem conta,4,3380,<100,"[4,7) anos",37,1,nível 2,bom
735,[0-200),36,3990,sem conta,< 1 ano,29,1,desempregado,bom
736,[0-200),24,11560,<100,"[1,4) anos",23,2,nível 3,mau
737,negativo,18,4380,[100-500),"[1,4) anos",35,1,nível 1,bom
738,sem conta,6,6761,<100,"[4,7) anos",45,2,nível 3,bom
739,[0-200),30,4280,[100-500),"[1,4) anos",26,2,nível 1,mau
740,negativo,24,2325,[100-500),"[4,7) anos",32,1,nível 2,bom
741,[0-200),10,1048,<100,"[1,4) anos",23,1,nível 1,bom
742,sem conta,21,3160,sem conta,> 7 anos,41,1,nível 2,bom
743,negativo,24,2483,[500-1000),"[1,4) anos",22,1,nível 2,bom
744,negativo,39,14179,sem conta,"[4,7) anos",30,2,nível 3,bom
745,negativo,13,1797,<100,< 1 ano,28,2,nível 1,bom
746,negativo,15,2511,<100,desempregado,23,1,nível 2,bom
747,negativo,12,1274,<100,< 1 ano,37,1,nível 1,mau
748,sem conta,21,5248,sem conta,"[1,4) anos",26,1,nível 2,bom
749,sem conta,15,3029,<100,"[4,7) anos",33,1,nível 2,bom
750,negativo,6,428,<100,> 7 anos,49,1,nível 2,bom
751,negativo,18,976,<100,< 1 ano,23,1,nível 1,mau
752,[0-200),12,841,[100-500),"[4,7) anos",23,1,nível 1,bom
753,sem conta,30,5771,<100,"[4,7) anos",25,2,nível 2,bom
754,sem conta,12,1555,>1000,> 7 anos,55,2,nível 2,mau
755,negativo,24,1285,sem conta,"[4,7) anos",32,1,nível 2,mau
756,200+,6,1299,<100,"[1,4) anos",74,3,desempregado,bom
757,200+,15,1271,sem conta,"[1,4) anos",39,2,nível 2,mau
758,sem conta,24,1393,<100,"[1,4) anos",31,1,nível 2,bom
759,negativo,12,691,<100,> 7 anos,35,2,nível 2,mau
760,sem conta,15,5045,sem conta,> 7 anos,59,1,nível 2,bom
761,negativo,18,2124,<100,"[1,4) anos",24,2,nível 2,mau
762,negativo,12,2214,<100,"[1,4) anos",24,1,nível 1,bom
763,sem conta,21,12680,sem conta,> 7 anos,30,1,nível 3,mau
764,sem conta,24,2463,[100-500),"[4,7) anos",27,2,nível 2,bom
765,[0-200),12,1155,<100,> 7 anos,40,2,nível 1,bom
766,negativo,30,3108,<100,< 1 ano,31,1,nível 1,mau
767,sem conta,10,2901,sem conta,< 1 ano,31,1,nível 2,bom
768,[0-200),12,3617,<100,> 7 anos,28,3,nível 2,bom
769,sem conta,12,1655,<100,> 7 anos,63,2,nível 1,bom
770,negativo,24,2812,sem conta,> 7 anos,26,1,nível 2,bom
771,negativo,36,8065,<100,"[1,4) anos",25,2,nível 3,mau
772,sem conta,21,3275,<100,> 7 anos,36,1,nível 3,bom
773,sem conta,24,2223,[100-500),> 7 anos,52,2,nível 2,bom
774,200+,12,1480,[500-1000),desempregado,66,3,desempregado,bom
775,negativo,24,1371,sem conta,"[1,4) anos",25,1,nível 2,mau
776,sem conta,36,3535,<100,"[4,7) anos",37,2,nível 2,bom
777,negativo,18,3509,<100,"[4,7) anos",25,1,nível 2,bom
778,sem conta,36,5711,>1000,> 7 anos,38,2,nível 3,bom
779,[0-200),18,3872,<100,desempregado,67,1,nível 2,bom
780,[0-200),39,4933,<100,"[4,7) anos",25,2,nível 2,mau
781,sem conta,24,1940,>1000,> 7 anos,60,1,nível 2,bom
782,[0-200),12,1410,<100,"[1,4) anos",31,1,nível 1,bom
783,[0-200),12,836,[100-500),< 1 ano,23,1,nível 1,mau
784,[0-200),20,6468,sem conta,desempregado,60,1,nível 3,bom
785,[0-200),18,1941,>1000,"[1,4) anos",35,1,nível 1,bom
786,sem conta,22,2675,[500-1000),> 7 anos,40,1,nível 2,bom
787,sem conta,48,2751,sem conta,> 7 anos,38,2,nível 2,bom
788,[0-200),48,6224,<100,> 7 anos,50,1,nível 2,mau
789,negativo,40,5998,<100,"[1,4) anos",27,1,nível 2,mau
790,[0-200),21,1188,<100,> 7 anos,39,1,nível 2,mau
