conta,duração,historico,motivo,quantia,poupança,emprego,taxa,status,garantia,residencia,propriedades,idade,financiamentos,moradia,creditos,trabalho,dependentes,telefone,estrangeiro,pagador
sem conta,36,pagamento em dia,carro novo,909,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,36,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,6,pagamento em dia,móveis,2978,[500-1000),"[1,4) anos",1,masculino/solteiro,nenhum,2,carro,32,nenhum,própria,1,nível 2,1,sim,não,bom
negativo,18,pagamento em dia,móveis,1131,<100,desempregado,4,feminino/divorciado,nenhum,2,carro,33,nenhum,própria,1,nível 2,1,não,não,mau
[0-200),11,pagamento em dia,móveis,1577,>1000,< 1 ano,4,feminino/divorciado,nenhum,1,imobiliario,20,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,24,pagamento em dia,móveis,3972,<100,"[4,7) anos",2,feminino/divorciado,nenhum,4,seguro  de vida,25,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),24,conta crítica,negócios,1935,<100,> 7 anos,4,masculino/divorciado,nenhum,4,imobiliario,31,nenhum,própria,2,nível 2,1,sim,não,mau
negativo,15,primeira vez,carro novo,950,<100,> 7 anos,4,masculino/solteiro,nenhum,3,carro,33,nenhum,alugada,2,nível 2,2,não,não,mau
sem conta,12,pagamento em dia,móveis,763,<100,"[1,4) anos",4,feminino/divorciado,nenhum,1,imobiliario,26,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),24,já atrasou pagamentos,móveis,2064,<100,desempregado,3,feminino/divorciado,nenhum,2,seguro  de vida,34,nenhum,própria,1,nível 3,1,sim,não,mau
[0-200),8,pagamento em dia,radio/televisão,1414,<100,"[1,4) anos",4,masculino/solteiro,fiador,2,imobiliario,33,nenhum,própria,1,nível 2,1,não,sim,bom
negativo,21,já atrasou pagamentos,educação,3414,<100,< 1 ano,2,masculino/solteiro,nenhum,1,seguro  de vida,26,nenhum,própria,2,nível 2,1,não,não,mau
sem conta,30,creditos quitados,carro usado,7485,sem conta,desempregado,4,feminino/divorciado,nenhum,1,imobiliario,53,bancos,própria,1,nível 3,1,sim,não,mau
negativo,12,pagamento em dia,móveis,2577,<100,"[1,4) anos",2,masculino/divorciado,nenhum,1,carro,42,nenhum,própria,1,nível 2,1,não,não,bom
negativo,6,conta crítica,radio/televisão,338,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,4,carro,52,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,12,pagamento em dia,radio/televisão,1963,<100,"[4,7) anos",4,masculino/solteiro,nenhum,2,carro,31,nenhum,alugada,2,nível 3,2,sim,não,bom
negativo,21,conta crítica,carro novo,571,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,65,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,36,já atrasou pagamentos,negócios,9572,<100,< 1 ano,1,masculino/divorciado,nenhum,1,carro,28,nenhum,própria,2,nível 2,1,não,não,mau
[0-200),36,já atrasou pagamentos,negócios,4455,<100,"[1,4) anos",2,masculino/divorciado,nenhum,2,imobiliario,30,lojas,própria,2,nível 3,1,sim,não,mau
negativo,21,creditos quitados,carro novo,1647,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,2,seguro  de vida,40,nenhum,própria,2,nível 1,2,não,não,mau
sem conta,24,conta crítica,móveis,3777,>1000,"[1,4) anos",4,masculino/solteiro,nenhum,4,imobiliario,50,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),18,conta crítica,carro novo,884,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,36,bancos,própria,1,nível 2,2,sim,não,mau
sem conta,15,conta crítica,radio/televisão,1360,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,seguro  de vida,31,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),9,creditos quitados,carro usado,5129,<100,> 7 anos,2,feminino/divorciado,nenhum,4,sem propriedades,74,bancos,de graça,1,nível 3,2,sim,não,mau
[0-200),16,conta crítica,carro novo,1175,<100,desempregado,2,masculino/solteiro,nenhum,3,carro,68,nenhum,de graça,3,desempregado,1,sim,não,bom
negativo,12,pagamento em dia,radio/televisão,674,[100-500),"[4,7) anos",4,masculino/casado,nenhum,1,seguro  de vida,20,nenhum,própria,1,nível 2,1,não,não,mau
[0-200),18,primeira vez,móveis,3244,<100,"[1,4) anos",1,feminino/divorciado,nenhum,4,carro,33,bancos,própria,2,nível 2,1,sim,não,bom
sem conta,24,pagamento em dia,negócios,4591,>1000,"[1,4) anos",2,masculino/solteiro,nenhum,3,seguro  de vida,54,nenhum,própria,3,nível 3,1,sim,não,mau
[0-200),48,primeira vez,negócios,3844,[100-500),"[4,7) anos",4,masculino/solteiro,nenhum,4,sem propriedades,34,nenhum,de graça,1,nível 1,2,não,não,mau
[0-200),27,pagamento em dia,negócios,3915,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,36,nenhum,própria,1,nível 2,2,sim,não,mau
sem conta,6,pagamento em dia,radio/televisão,2108,<100,"[4,7) anos",2,masculino/casado,nenhum,2,imobiliario,29,nenhum,alugada,1,nível 2,1,não,não,bom
[0-200),45,pagamento em dia,radio/televisão,3031,[100-500),"[1,4) anos",4,masculino/solteiro,fiador,4,seguro  de vida,21,nenhum,alugada,1,nível 2,1,não,não,mau
[0-200),9,conta crítica,educação,1501,<100,> 7 anos,2,feminino/divorciado,nenhum,3,carro,34,nenhum,própria,2,nível 3,1,sim,não,mau
sem conta,6,conta crítica,radio/televisão,1382,<100,"[1,4) anos",1,feminino/divorciado,nenhum,1,carro,28,nenhum,própria,2,nível 2,1,sim,não,bom
[0-200),12,pagamento em dia,móveis,951,[100-500),< 1 ano,4,feminino/divorciado,nenhum,4,carro,27,bancos,alugada,4,nível 2,1,não,não,mau
[0-200),24,pagamento em dia,carro usado,2760,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,36,bancos,de graça,1,nível 2,1,sim,não,bom
[0-200),18,já atrasou pagamentos,móveis,4297,<100,> 7 anos,4,masculino/divorciado,nenhum,3,sem propriedades,40,nenhum,própria,1,nível 3,1,sim,não,mau
sem conta,9,conta crítica,educação,936,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,2,carro,52,nenhum,própria,2,nível 2,1,sim,não,bom
negativo,12,pagamento em dia,carro novo,1168,<100,"[1,4) anos",4,masculino/casado,nenhum,3,imobiliario,27,nenhum,própria,1,nível 1,1,não,não,bom
sem conta,27,já atrasou pagamentos,negócios,5117,<100,"[4,7) anos",3,masculino/solteiro,nenhum,4,carro,26,nenhum,própria,2,nível 2,1,não,não,bom
negativo,12,pagamento em dia,retreinamentos,902,<100,"[4,7) anos",4,masculino/casado,nenhum,4,seguro  de vida,21,nenhum,alugada,1,nível 2,1,não,não,mau
sem conta,12,conta crítica,carro novo,1495,<100,> 7 anos,4,masculino/solteiro,nenhum,1,imobiliario,38,nenhum,própria,2,nível 1,2,não,não,bom
negativo,30,conta crítica,carro usado,10623,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,38,nenhum,de graça,3,nível 3,2,sim,não,bom
sem conta,12,conta crítica,móveis,1935,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,43,nenhum,própria,3,nível 2,1,sim,não,bom
[0-200),12,conta crítica,itens de casa,1424,<100,"[4,7) anos",4,masculino/solteiro,nenhum,3,seguro  de vida,26,nenhum,própria,1,nível 2,1,não,não,bom
negativo,24,pagamento em dia,negócios,6568,<100,"[1,4) anos",2,masculino/casado,nenhum,2,carro,21,lojas,própria,1,nível 1,1,não,não,bom
sem conta,12,pagamento em dia,carro usado,1413,>1000,"[4,7) anos",3,masculino/solteiro,nenhum,2,seguro  de vida,55,nenhum,própria,1,nível 2,1,não,sim,bom
sem conta,9,conta crítica,radio/televisão,3074,sem conta,"[1,4) anos",1,masculino/solteiro,nenhum,2,imobiliario,33,nenhum,própria,2,nível 2,2,não,não,bom
sem conta,36,pagamento em dia,radio/televisão,3835,sem conta,> 7 anos,2,feminino/divorciado,nenhum,4,imobiliario,45,nenhum,própria,1,nível 1,1,sim,não,bom
negativo,27,primeira vez,negócios,5293,<100,desempregado,2,masculino/solteiro,nenhum,4,seguro  de vida,50,lojas,própria,2,nível 2,1,sim,não,mau
200+,30,já atrasou pagamentos,negócios,1908,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,66,nenhum,própria,1,nível 3,1,sim,não,mau
sem conta,36,conta crítica,radio/televisão,3342,sem conta,> 7 anos,4,masculino/solteiro,nenhum,2,carro,51,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),6,conta crítica,retreinamentos,932,sem conta,"[4,7) anos",1,feminino/divorciado,nenhum,3,seguro  de vida,39,nenhum,própria,2,nível 1,1,não,não,bom
negativo,18,primeira vez,negócios,3104,<100,"[4,7) anos",3,masculino/solteiro,nenhum,1,seguro  de vida,31,bancos,própria,1,nível 2,1,sim,não,bom
200+,36,pagamento em dia,radio/televisão,3913,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,imobiliario,23,nenhum,própria,1,nível 2,1,sim,não,bom
negativo,24,pagamento em dia,móveis,3021,<100,"[1,4) anos",2,masculino/divorciado,nenhum,2,imobiliario,24,nenhum,alugada,1,nível 1,1,não,não,bom
sem conta,10,pagamento em dia,carro novo,1364,<100,"[1,4) anos",2,feminino/divorciado,nenhum,4,carro,64,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),12,pagamento em dia,radio/televisão,625,<100,< 1 ano,4,masculino/casado,fiador,1,imobiliario,26,bancos,própria,1,nível 1,1,não,não,bom
negativo,12,pagamento em dia,educação,1200,sem conta,"[1,4) anos",4,feminino/divorciado,nenhum,4,seguro  de vida,23,bancos,alugada,1,nível 2,1,sim,não,bom
sem conta,12,pagamento em dia,radio/televisão,707,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,imobiliario,30,bancos,própria,2,nível 2,1,não,não,bom
sem conta,24,já atrasou pagamentos,negócios,2978,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,4,imobiliario,32,nenhum,própria,2,nível 2,2,sim,não,bom
sem conta,15,pagamento em dia,carro usado,4657,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,36,primeira vez,reparos,2613,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,27,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),48,pagamento em dia,radio/televisão,10961,>1000,"[4,7) anos",1,masculino/solteiro,co-aplicante,2,sem propriedades,27,bancos,própria,2,nível 2,1,sim,não,mau
negativo,12,pagamento em dia,móveis,7865,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,53,nenhum,de graça,1,nível 3,1,sim,não,mau
sem conta,9,pagamento em dia,radio/televisão,1478,<100,"[4,7) anos",4,masculino/solteiro,nenhum,2,carro,22,nenhum,própria,1,nível 2,1,não,não,mau
negativo,24,pagamento em dia,móveis,3149,<100,< 1 ano,4,masculino/solteiro,nenhum,1,sem propriedades,22,bancos,de graça,1,nível 2,1,não,não,bom
200+,36,pagamento em dia,radio/televisão,4210,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,26,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,9,pagamento em dia,carro novo,2507,[500-1000),> 7 anos,2,masculino/solteiro,nenhum,4,sem propriedades,51,nenhum,de graça,1,nível 1,1,não,não,bom
sem conta,12,pagamento em dia,radio/televisão,2141,[100-500),"[4,7) anos",3,masculino/solteiro,nenhum,1,sem propriedades,35,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),18,pagamento em dia,radio/televisão,866,<100,"[1,4) anos",4,masculino/casado,fiador,2,imobiliario,25,nenhum,própria,1,nível 1,1,não,não,bom
sem conta,4,conta crítica,radio/televisão,1544,<100,"[4,7) anos",2,masculino/solteiro,nenhum,1,imobiliario,42,nenhum,própria,3,nível 1,2,não,não,bom
negativo,24,pagamento em dia,radio/televisão,1823,<100,desempregado,4,masculino/solteiro,nenhum,2,carro,30,lojas,própria,1,nível 3,2,não,não,mau
[0-200),6,pagamento em dia,carro novo,14555,sem conta,desempregado,1,masculino/solteiro,nenhum,2,seguro  de vida,23,nenhum,própria,1,desempregado,1,sim,não,mau
[0-200),21,pagamento em dia,negócios,2767,[100-500),> 7 anos,4,masculino/divorciado,nenhum,2,carro,61,bancos,alugada,2,nível 1,1,não,não,mau
sem conta,12,conta crítica,radio/televisão,1291,<100,"[1,4) anos",4,feminino/divorciado,nenhum,2,seguro  de vida,35,nenhum,própria,2,nível 2,1,não,não,bom
negativo,30,pagamento em dia,radio/televisão,2522,<100,> 7 anos,1,masculino/solteiro,fiador,3,seguro  de vida,39,nenhum,própria,1,nível 2,2,não,não,bom
negativo,24,pagamento em dia,carro novo,915,sem conta,> 7 anos,4,feminino/divorciado,nenhum,2,carro,29,bancos,própria,1,nível 2,1,não,não,mau
sem conta,6,pagamento em dia,radio/televisão,1595,<100,"[4,7) anos",3,masculino/solteiro,nenhum,2,seguro  de vida,51,nenhum,própria,1,nível 2,2,não,não,bom
negativo,48,primeira vez,carro usado,4605,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,24,nenhum,de graça,2,nível 2,2,não,não,mau
sem conta,12,conta crítica,negócios,1185,<100,"[1,4) anos",3,feminino/divorciado,nenhum,2,imobiliario,27,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,12,creditos quitados,retreinamentos,3447,[500-1000),"[1,4) anos",4,feminino/divorciado,nenhum,3,imobiliario,35,nenhum,própria,1,nível 1,2,não,não,bom
sem conta,24,pagamento em dia,negócios,1258,<100,"[4,7) anos",4,masculino/solteiro,nenhum,1,imobiliario,25,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,12,conta crítica,radio/televisão,717,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,52,nenhum,própria,3,nível 2,1,não,não,bom
sem conta,6,primeira vez,carro novo,1204,[100-500),"[1,4) anos",4,masculino/solteiro,nenhum,1,sem propriedades,35,bancos,alugada,1,nível 2,1,não,sim,bom
200+,24,pagamento em dia,móveis,1925,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,imobiliario,26,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,radio/televisão,433,<100,desempregado,3,feminino/divorciado,co-aplicante,4,imobiliario,22,nenhum,alugada,1,nível 2,1,não,não,mau
negativo,6,conta crítica,carro novo,666,>1000,"[4,7) anos",3,feminino/divorciado,nenhum,4,imobiliario,39,nenhum,própria,2,nível 1,1,sim,não,bom
200+,12,pagamento em dia,móveis,2251,<100,"[1,4) anos",1,feminino/divorciado,nenhum,2,carro,46,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),30,pagamento em dia,carro novo,2150,<100,"[1,4) anos",4,feminino/divorciado,fiador,2,sem propriedades,24,bancos,própria,1,nível 2,1,não,não,mau
sem conta,24,já atrasou pagamentos,móveis,4151,[100-500),"[1,4) anos",2,masculino/solteiro,nenhum,3,seguro  de vida,35,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),9,pagamento em dia,móveis,2030,sem conta,"[4,7) anos",2,masculino/solteiro,nenhum,1,carro,24,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),60,já atrasou pagamentos,radio/televisão,7418,sem conta,"[1,4) anos",1,masculino/solteiro,nenhum,1,imobiliario,27,nenhum,própria,1,nível 1,1,não,não,bom
sem conta,24,conta crítica,radio/televisão,2684,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,imobiliario,35,nenhum,própria,2,nível 1,1,não,não,bom
negativo,12,creditos quitados,radio/televisão,2149,<100,"[1,4) anos",4,masculino/divorciado,nenhum,1,sem propriedades,29,nenhum,de graça,1,nível 2,1,não,não,mau
sem conta,15,pagamento em dia,carro usado,3812,[100-500),< 1 ano,1,feminino/divorciado,nenhum,4,carro,23,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,11,conta crítica,radio/televisão,1154,[100-500),desempregado,4,feminino/divorciado,nenhum,4,imobiliario,57,nenhum,própria,3,nível 1,1,não,não,bom
negativo,12,pagamento em dia,móveis,1657,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,imobiliario,27,nenhum,própria,1,nível 2,1,não,não,bom
negativo,24,pagamento em dia,radio/televisão,1603,<100,> 7 anos,4,feminino/divorciado,nenhum,4,carro,55,nenhum,própria,1,nível 2,1,não,não,bom
negativo,18,conta crítica,carro novo,5302,<100,> 7 anos,2,masculino/solteiro,nenhum,4,sem propriedades,36,nenhum,de graça,3,nível 3,1,sim,não,bom
sem conta,12,conta crítica,educação,2748,<100,> 7 anos,2,feminino/divorciado,nenhum,4,sem propriedades,57,bancos,de graça,3,nível 1,1,não,não,bom
sem conta,10,conta crítica,carro novo,1231,<100,> 7 anos,3,masculino/solteiro,nenhum,4,imobiliario,32,nenhum,própria,2,nível 1,2,não,sim,bom
[0-200),15,pagamento em dia,radio/televisão,802,<100,> 7 anos,4,masculino/solteiro,nenhum,3,carro,37,nenhum,própria,1,nível 2,2,não,não,mau
sem conta,36,conta crítica,negócios,6304,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,36,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,24,pagamento em dia,radio/televisão,1533,<100,< 1 ano,4,feminino/divorciado,nenhum,3,carro,38,lojas,própria,1,nível 2,1,sim,não,bom
negativo,14,pagamento em dia,carro novo,8978,<100,> 7 anos,1,masculino/divorciado,nenhum,4,seguro  de vida,45,nenhum,própria,1,nível 3,1,sim,sim,mau
sem conta,24,pagamento em dia,radio/televisão,999,sem conta,> 7 anos,4,masculino/solteiro,nenhum,2,carro,25,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,carro novo,2662,sem conta,"[4,7) anos",4,masculino/solteiro,nenhum,3,seguro  de vida,32,nenhum,própria,1,nível 2,1,não,sim,bom
sem conta,12,conta crítica,móveis,1402,[500-1000),"[4,7) anos",3,feminino/divorciado,nenhum,4,carro,37,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),48,creditos quitados,carro novo,12169,sem conta,desempregado,4,masculino/solteiro,co-aplicante,4,sem propriedades,36,nenhum,de graça,1,nível 3,1,sim,não,bom
[0-200),48,pagamento em dia,radio/televisão,3060,<100,"[4,7) anos",4,masculino/solteiro,nenhum,4,imobiliario,28,nenhum,própria,2,nível 2,1,não,não,mau
negativo,30,pagamento em dia,reparos,11998,<100,< 1 ano,1,masculino/divorciado,nenhum,1,sem propriedades,34,nenhum,própria,1,nível 1,1,sim,não,mau
sem conta,9,pagamento em dia,radio/televisão,2697,<100,"[1,4) anos",1,masculino/solteiro,nenhum,2,imobiliario,32,nenhum,própria,1,nível 2,2,não,não,bom
sem conta,18,conta crítica,radio/televisão,2404,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,carro,26,nenhum,própria,2,nível 2,1,não,não,bom
negativo,12,pagamento em dia,móveis,1262,sem conta,> 7 anos,2,masculino/divorciado,nenhum,4,seguro  de vida,49,nenhum,própria,1,nível 1,1,sim,não,bom
sem conta,6,pagamento em dia,móveis,4611,<100,< 1 ano,1,feminino/divorciado,nenhum,4,seguro  de vida,32,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,24,pagamento em dia,radio/televisão,1901,[100-500),"[1,4) anos",4,masculino/solteiro,nenhum,4,carro,29,nenhum,alugada,1,nível 3,1,sim,não,bom
sem conta,15,conta crítica,carro usado,3368,>1000,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,23,nenhum,alugada,2,nível 2,1,sim,não,bom
sem conta,12,pagamento em dia,móveis,1574,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,imobiliario,50,nenhum,própria,1,nível 2,1,não,não,bom
200+,18,creditos quitados,radio/televisão,1445,sem conta,"[4,7) anos",4,masculino/solteiro,nenhum,4,carro,49,bancos,própria,1,nível 1,1,não,não,bom
sem conta,15,conta crítica,móveis,1520,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,63,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),24,conta crítica,carro novo,3878,[100-500),< 1 ano,4,masculino/divorciado,nenhum,2,carro,37,nenhum,própria,1,nível 2,1,sim,não,bom
negativo,47,pagamento em dia,carro novo,10722,<100,< 1 ano,1,feminino/divorciado,nenhum,1,imobiliario,35,nenhum,própria,1,nível 1,1,sim,não,bom
negativo,48,pagamento em dia,carro usado,4788,<100,"[4,7) anos",4,masculino/solteiro,nenhum,3,seguro  de vida,26,nenhum,própria,1,nível 2,2,não,não,bom
[0-200),48,já atrasou pagamentos,outros,7582,[100-500),desempregado,2,masculino/solteiro,nenhum,4,sem propriedades,31,nenhum,de graça,1,nível 3,1,sim,não,bom
[0-200),12,pagamento em dia,radio/televisão,1092,<100,"[1,4) anos",4,feminino/divorciado,fiador,4,imobiliario,49,nenhum,própria,2,nível 2,1,sim,não,bom
negativo,24,já atrasou pagamentos,radio/televisão,1024,<100,< 1 ano,4,masculino/casado,nenhum,4,imobiliario,48,lojas,própria,1,nível 2,1,não,não,mau
sem conta,12,pagamento em dia,negócios,1076,<100,"[1,4) anos",2,masculino/casado,nenhum,2,imobiliario,26,nenhum,própria,1,nível 2,1,sim,sim,bom
[0-200),36,pagamento em dia,carro usado,9398,<100,< 1 ano,1,masculino/casado,nenhum,4,carro,28,nenhum,alugada,1,nível 3,1,sim,não,mau
negativo,24,conta crítica,carro usado,6419,<100,> 7 anos,2,feminino/divorciado,nenhum,4,sem propriedades,44,nenhum,de graça,2,nível 3,2,sim,não,bom
200+,42,conta crítica,carro usado,4796,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,56,nenhum,de graça,1,nível 2,1,não,não,bom
sem conta,48,conta crítica,negócios,7629,sem conta,> 7 anos,4,masculino/divorciado,nenhum,2,carro,46,bancos,própria,2,nível 3,2,não,não,bom
[0-200),48,pagamento em dia,móveis,9960,<100,< 1 ano,1,feminino/divorciado,nenhum,2,carro,26,nenhum,própria,1,nível 2,1,sim,não,mau
sem conta,12,pagamento em dia,carro usado,4675,sem conta,< 1 ano,1,feminino/divorciado,nenhum,4,carro,20,nenhum,alugada,1,nível 2,1,não,não,bom
sem conta,10,pagamento em dia,carro novo,1287,sem conta,> 7 anos,4,masculino/solteiro,co-aplicante,2,seguro  de vida,45,nenhum,própria,1,nível 1,1,não,sim,bom
sem conta,18,pagamento em dia,móveis,2515,<100,"[1,4) anos",3,masculino/solteiro,nenhum,4,imobiliario,43,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),21,conta crítica,móveis,2745,>1000,"[4,7) anos",3,masculino/solteiro,nenhum,2,carro,32,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,6,pagamento em dia,carro novo,672,<100,desempregado,1,feminino/divorciado,nenhum,4,imobiliario,54,nenhum,própria,1,desempregado,1,sim,não,bom
[0-200),36,primeira vez,radio/televisão,3804,<100,"[1,4) anos",4,feminino/divorciado,nenhum,1,carro,42,nenhum,própria,1,nível 2,1,sim,não,mau
200+,24,conta crítica,carro novo,1344,sem conta,"[4,7) anos",4,masculino/solteiro,nenhum,2,imobiliario,37,bancos,própria,2,nível 1,2,não,não,mau
negativo,10,conta crítica,carro novo,1038,<100,"[4,7) anos",4,masculino/solteiro,co-aplicante,3,seguro  de vida,49,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,48,conta crítica,carro novo,10127,[500-1000),"[1,4) anos",2,masculino/solteiro,nenhum,2,sem propriedades,44,bancos,de graça,1,nível 2,1,não,não,mau
sem conta,6,pagamento em dia,móveis,1543,>1000,"[1,4) anos",4,masculino/divorciado,nenhum,2,imobiliario,33,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,30,pagamento em dia,carro usado,4811,sem conta,"[4,7) anos",2,feminino/divorciado,nenhum,4,seguro  de vida,24,lojas,alugada,1,nível 1,1,não,não,bom
negativo,12,pagamento em dia,radio/televisão,727,[100-500),< 1 ano,4,masculino/casado,nenhum,3,sem propriedades,33,nenhum,própria,1,nível 1,1,sim,não,mau
[0-200),8,pagamento em dia,móveis,1237,<100,"[1,4) anos",3,feminino/divorciado,nenhum,4,imobiliario,24,nenhum,própria,1,nível 2,1,não,não,mau
[0-200),9,pagamento em dia,carro novo,276,<100,"[1,4) anos",4,masculino/casado,nenhum,4,imobiliario,22,nenhum,alugada,1,nível 1,1,não,não,bom
[0-200),48,pagamento em dia,outros,5381,sem conta,desempregado,3,masculino/solteiro,nenhum,4,sem propriedades,40,bancos,de graça,1,desempregado,1,sim,não,bom
sem conta,24,pagamento em dia,móveis,5511,[100-500),"[1,4) anos",4,masculino/solteiro,nenhum,1,carro,25,lojas,própria,1,nível 2,1,não,não,bom
200+,24,pagamento em dia,móveis,3749,<100,< 1 ano,2,feminino/divorciado,nenhum,4,carro,26,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,carro novo,685,<100,"[4,7) anos",2,masculino/casado,nenhum,3,carro,25,bancos,própria,1,nível 1,1,não,não,mau
200+,4,pagamento em dia,carro novo,1494,sem conta,< 1 ano,1,masculino/solteiro,nenhum,2,imobiliario,29,nenhum,própria,1,nível 1,2,não,sim,bom
negativo,36,creditos quitados,móveis,2746,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,31,bancos,própria,1,nível 2,1,não,não,mau
negativo,12,pagamento em dia,móveis,708,<100,"[1,4) anos",2,masculino/solteiro,fiador,3,seguro  de vida,38,nenhum,própria,1,nível 1,2,não,não,bom
[0-200),24,pagamento em dia,móveis,4351,sem conta,"[1,4) anos",1,feminino/divorciado,nenhum,4,seguro  de vida,48,nenhum,própria,1,nível 1,1,sim,não,bom
sem conta,12,conta crítica,educação,701,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,32,nenhum,própria,2,nível 2,1,não,não,bom
negativo,15,já atrasou pagamentos,móveis,3643,<100,> 7 anos,1,feminino/divorciado,nenhum,4,seguro  de vida,27,nenhum,própria,2,nível 1,1,não,não,bom
[0-200),30,conta crítica,carro novo,4249,<100,desempregado,4,masculino/casado,nenhum,2,carro,28,nenhum,própria,2,nível 3,1,não,não,mau
negativo,24,pagamento em dia,radio/televisão,1938,<100,< 1 ano,4,masculino/divorciado,nenhum,3,seguro  de vida,32,nenhum,própria,1,nível 2,1,não,não,mau
negativo,24,pagamento em dia,carro usado,2910,<100,"[4,7) anos",2,masculino/solteiro,nenhum,1,sem propriedades,34,nenhum,de graça,1,nível 3,1,sim,não,bom
negativo,18,pagamento em dia,móveis,2659,>1000,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,28,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,18,conta crítica,carro novo,1028,<100,"[1,4) anos",4,feminino/divorciado,nenhum,3,imobiliario,36,nenhum,própria,2,nível 2,1,não,não,bom
negativo,8,conta crítica,carro novo,3398,<100,"[4,7) anos",1,masculino/solteiro,nenhum,4,imobiliario,39,nenhum,própria,2,nível 1,1,não,sim,bom
sem conta,12,conta crítica,móveis,5801,sem conta,> 7 anos,2,masculino/solteiro,nenhum,4,seguro  de vida,49,nenhum,alugada,1,nível 2,1,sim,não,bom
sem conta,24,pagamento em dia,carro novo,1525,>1000,"[4,7) anos",4,feminino/divorciado,nenhum,3,carro,34,nenhum,própria,1,nível 2,2,sim,não,bom
200+,36,pagamento em dia,radio/televisão,4473,<100,> 7 anos,4,masculino/solteiro,nenhum,2,carro,31,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),6,pagamento em dia,radio/televisão,1068,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,28,nenhum,própria,1,nível 2,2,não,não,bom
